name,identifier
Shoe Rack,SHR_ITM_NW
Console Table,COT_ITM_NW
Display Shelf,DIS_ITM_NW
Seating Area,SEA_ITM_NW
False ceiling,FAC_ITM_NW
Sofa set,SOF_ITM_NW
Centre Table,CEN_ITM_NW
TV Wall Unit,TWU_ITM_NW
Storage Unit,STO_ITM_NW
Bar Unit,BAR_ITM_NW
Book Shelf,BOK_ITM_NW
Partition,PAR_ITM_NW
TV Base Unit,TBU_ITM_NW
Pooja Unit With Shutter,PUWS_ITM_NW
Pooja Unit Without Shutter,PUWOS_ITM_NW
Crockery unit,CRO_ITM_NW
Vanity unit -Sink Area,VAN_ITM_NW
Bottom unit -Base unit,BOT_ITM_NW
Tall Unit Pullout - SS,TAL_KIT_ITM_NW
Tambor Unit -Storage Unit,TAM_ITM_NW
Wall Sliding Unit,WAL_ITM_NW
Loft Storage - Top Storage,LOF_TOP_ITM_NW
Wooden Cutlery Tray,WCT_ITM_NW
Under Sink Organiser,USO_ITM_NW
Plain Basket,PLB_ITM_NW
Cup & Saucer Basket,CSB_ITM_NW
Thali Basket,THA_ITM_NW
Double Bottle Pullout,DBP_ITM_NW
Tall Unit,TAL_ITM_NW
PVC Cutlery tray,PCT_ITM_NW
Magic Corner,MGO_ITM_NW
Wall mounted Plate Holder,WPH_ITM_NW
Wicker Basket,WBA_ITM_NW
Tandem Drawers,TND_ITM_NW
Counter top - Fixing,CTF_ITM_NW
Dado tile - Fixing,DTF_ITM_NW
3 Tier Base Unit Pullout,3TBUP_ITM_NW
Wall Unit,WU_ITM_NW
Bed,BED_ITM_NW
Bed Bench,BEB_ITM_NW
Bed side table,BES_ITM_NW
Wardrobe,WAR_ITM_NW
Dressing Unit,DRE_ITM_NW
Study Unit,STD_ITM_NW
Vanity Unit - Sink Area,VAN_ITM_NW
Bathroom Cabinet,CAB_ITM_NW
Counter - Bottom Unit,CBU_ITM_NW
Storage Cabinet,SC_ITM_NW
Seating - Table & Chair,STC_ITM_NW
Painting,PAI_ITM_NW
Electrical Work ,ELE_WK_ITM_NW
Debris Removal,DEB_REV_ITM_NW
Demolition,DEM_ITM_NW
Plumbing works,PLU_WK_ITM_NW
Wooden flooring,WD_FL_ITM_NW
Tiling,TIL_ITM_NW
Counter top Installation,CTI_ITM_NW
Wallpaper,WAP_ITM_NW
Glass Partition,GL_PAT_ITM_NW
